item_armor

[OBJECT:ITEM]
╔═╗ ╔╗  ╦ ╔╦╗ ╦   ╔═╗ ╔═╗ ║╔═ ╔═╗ ╗ ╔═╗   ╗ ╔ ╦ ╔═╗ ╔╦╗ ╔═╗ ╔╗  ╦ ╔═╗   ╔═╗ ╔╗  ╔╦╗ ╔═╗    ╔╗   ╔═╗ ╔╗  ╔╦╗ ╔═╗ ╔╗ 
║╠╗ ╠╩╗ ║ ║║║ ║   ║ ║ ║   ╠╩╗ ╠╣    ╚═╗   ╠═╣ ║ ╚═╗  ║  ║ ║ ╠╩╗ ║ ║     ╠═╣ ╠╩╗ ║║║ ╚═╗   ╔╩╣   ╠═╣ ╠╩╗ ║║║ ║ ║ ╠╩╗
╚═╝ ║ ║ ╩ ║╩║ ╚═╝ ╚═╝ ╚═╝ ║ ║ ╚═╝   ╚═╝   ╝ ╚ ╩ ╚═╝  ║  ╚═╝ ║ ║ ╩ ╚═╝   ║ ║ ║ ║ ║╩║ ╚═╝   ╚═╬   ║ ║ ║ ║ ║╩║ ╚═╝ ║ ║
Revision 6a

Bay12 forum thread: http://www.bay12forums.com/smf/index.php?topic=146737.0


<><><><><><><><>    Head armor    <><><><><><><><>

[ITEM_HELM:ITEM_HELM_ARMET]
	[NAME:armet:armets]
	[ARMORLEVEL:3]
	[SHAPED]
	[LAYER:ARMOR]
	[COVERAGE:100]1600
	[LAYER_SIZE:16]
	[LAYER_PERMIT:6]
	[MATERIAL_SIZE:8]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_HELM]
	[NAME:hounskull:hounskulls]
	[ARMORLEVEL:3]
	[LAYER:ARMOR]
	[SHAPED]
	[COVERAGE:100]1600
	[LAYER_SIZE:16]
	[LAYER_PERMIT:6]
	[MATERIAL_SIZE:8]
	[METAL]
	[HARD]

[ITEM_HELM:ITEM_HELM_BARBUTE]
	[NAME:barbute:barbutes]
	[ARMORLEVEL:2]
	[SHAPED]
	[LAYER:ARMOR]
	[COVERAGE:95]1615
	[LAYER_SIZE:17]
	[LAYER_PERMIT:6]
	[MATERIAL_SIZE:6]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_GREAT]
	[NAME:great helm:great helms]
	[ARMORLEVEL:2]
	[LAYER:COVER]
	[SHAPED]
	[COVERAGE:100]1200
	[LAYER_SIZE:12]
	[LAYER_PERMIT:19]
	[MATERIAL_SIZE:6]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_GREAT_HORNED]
	[NAME:horned great helm:horned great helms]
	[ARMORLEVEL:3]
	[LAYER:COVER]
	[SHAPED]
	[COVERAGE:100]1200
	[LAYER_SIZE:12]
	[LAYER_PERMIT:19]
	[MATERIAL_SIZE:8]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_KETTLE_OCULAR]
	[NAME:ocular kettle helm:ocular kettle helms]
	[ARMORLEVEL:3]
	[LAYER:COVER]
	[SHAPED]
	[COVERAGE:92]1564
	[LAYER_SIZE:17]
	[LAYER_PERMIT:17]
	[MATERIAL_SIZE:5]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_SALLET_VISORED]
	[NAME:visored sallet:visored sallets]
	[ARMORLEVEL:3]
	[SHAPED]
	[LAYER:COVER]
	[COVERAGE:88]1672
	[LAYER_SIZE:19]
	[LAYER_PERMIT:17]
	[MATERIAL_SIZE:5]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_KETTLE]
	[NAME:kettle helm:kettle helms]
	[ARMORLEVEL:1]
	[LAYER:COVER]
	[SHAPED]
	[COVERAGE:80]1600
	[LAYER_SIZE:20]
	[LAYER_PERMIT:17]
	[MATERIAL_SIZE:4]
	[METAL]
	[HARD]

[ITEM_HELM:ITEM_HELM_SALLET]
	[NAME:sallet:sallets]
	[ARMORLEVEL:1]
	[SHAPED]
	[LAYER:COVER]
	[COVERAGE:75]1650
	[LAYER_SIZE:22]
	[LAYER_PERMIT:17]
	[MATERIAL_SIZE:3]
	[METAL]
	[HARD]

[ITEM_HELM:ITEM_HELM_BASCINET]
	[NAME:mailed bascinet:mailed bascinets]
	[ARMORLEVEL:2]
	[LAYER:ARMOR]
	[COVERAGE:90]1620
	[LAYER_SIZE:18]
	[LAYER_PERMIT:1]
	[MATERIAL_SIZE:5]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_COIF]
	[NAME:mail coif:mail coifs]
	[ARMORLEVEL:1]
	[LAYER:ARMOR]
	[COVERAGE:90]1620
	[LAYER_SIZE:18]
	[LAYER_PERMIT:1]
	[MATERIAL_SIZE:4]
	[METAL]
	[HARD]
	[STRUCTURAL_ELASTICITY_CHAIN_METAL]
	
[ITEM_HELM:ITEM_HELM_BEVOR]
	[NAME:bevor:bevors]
	[ARMORLEVEL:2]
	[LAYER:ARMOR]
	[COVERAGE:80]1280
	[LAYER_SIZE:16]
	[LAYER_PERMIT:1]
	[MATERIAL_SIZE:3]
	[METAL]
	[HARD]
	
[ITEM_HELM:ITEM_HELM_BEVOR_MAIL]
	[NAME:mail bevor:mail bevors]
	[ARMORLEVEL:1]
	[LAYER:ARMOR]
	[COVERAGE:82]1312
	[LAYER_SIZE:16]
	[LAYER_PERMIT:1]
	[MATERIAL_SIZE:2]
	[METAL]
	[HARD]
	[STRUCTURAL_ELASTICITY_CHAIN_METAL]

	
<><><><><><><><>    Body armor    <><><><><><><><>

[ITEM_ARMOR:ITEM_ARMOR_PLATE]
	[NAME:plate cuirass:plate cuirasses]
	[ARMORLEVEL:3]
	[UBSTEP:1]
	[LBSTEP:0]
	[LAYER:ARMOR]
	[SHAPED]
	[COVERAGE:100]2250
	[LAYER_SIZE:18]
	[LAYER_PERMIT:14]
	[MATERIAL_SIZE:12]
	[METAL]
	[HARD]
	
[ITEM_ARMOR:ITEM_ARMOR_COAT_OF_PLATES]
	[NAME:coat of plates:coats of plates]
	[ARMORLEVEL:2]
	[UBSTEP:1]
	[LBSTEP:0]
	[LAYER:COVER]
	[SHAPED]
	[COVERAGE:100]2000
	[LAYER_SIZE:16]
	[LAYER_PERMIT:14]
	[MATERIAL_SIZE:9]
	[METAL]
	[HARD]
	
[ITEM_ARMOR:ITEM_ARMOR_BREASTPLATE]
	[NAME:partial plate cuirass:partial plate cuirasses]
	[ARMORLEVEL:2]
	[UBSTEP:1]
	[LBSTEP:0]
	[LAYER:COVER]
	[SHAPED]
	[COVERAGE:75]2250
	[LAYER_SIZE:24]
	[LAYER_PERMIT:14]
	[MATERIAL_SIZE:7]
	[METAL]
